exit	﻿η έξοδος
toasted sandwich	το τοστ
a, one	ένας/μία/ένα
toast	η φρυγανιά
lemonade	η λεμονάδα
ice cream	το παγωτό
lemon	το λεμόνι
tea	το τσάι
salami	το σαλάμι
ham	το ζαμπόν
water	το νερό
pasta	η πάστα
cucmber	το αγγούρι
milk	το γάλα
yoghourt	το γιαούρτι
juice	ο χυμός
what?	τι;
how?	πώς;
I	εγώ
you	εσύ
he/she/it	αυτός/αυτή/αυτό
we	εμείς
you (pl)	εσείς
they	αυτοί/αυτές/αυτά
or	ή
August	ο Αύγουστος
morning	το πρωί
market	η αγορά
greengrocer's	το μανάβικο
drachma	η δραχμή
kilogramme	το κιλό
half kilo	το μισό κιλό
all together	όλα μαζί
here you are, yes?	ορίστε
then	τότε
fresh	φρέσκα
immediately	αμέσως
how much is?	πόσο κάνει;
how much are?	πόσο κάνουν;
change	τα ρέστα
ticket	το εισιτήριο
single ticket	το απλό εισιτήριο
return ticket	το εισιτήριο με επιστροφή
Salonica	η Θεσσαλονίκη
thousand	η χιλιάδα
five	πέντε
eight	οκτώ
ten	δέκα
to have	έχω
house	το σπίτι
garden	ο κήπος
to tie, bind	δένω
one	ένα
two	δύο
three	τρία
four	τέσσερα
six	έξι
seven	έπτα/εφτά
eight	οκτώ/οχτώ
nine	εννέα/εννιά
eleven	έντεκα
twelve	δώδεκα
thirteen	δεκατρία
fourteen	δεκατέσσερα
fifteen	δεκαπέντε
sixteen	δεκαέξι
seventeen	δεκαεπτά/δεκαεφτά
eighteen	δεκαοκτώ/δεκαοχτώ
nineteen	δεκαεννέα/δεκαεννιά
twenty	είκοσι
train	το τρένο
island	το νησί
port	το λιμάνι
ship	το πλοίο
child	το παιδί
bicycle	το ποδήλατο
tyre	το λάστιχο
petrol station	το πρατήριο (βενζίνης)
garage (workshop)	το συνεργείο
toy car	το αυτοκινητάκι
minute	το λεπτό
but	αλλά
trolleybus, tram	το τρόλεϊ
road	ο δρόμος
straight ahead	ίσια εμπρός
far	μακριά
there	εκεί
to think	νομίζω
fifty	πενήντα
to answer	απαντώ (α)
to benefit	ωφελώ
to shop, buy	αγοράζω
to go	πηγαίνω
to miss, lose	χάνω
to ask	ρωτώ (α)
to be late	αργώ
to love	αγαπώ (α)
to travel, journey	ταξιδεύω
to depart	αναχωρώ
sea	η θάλασσα
driver	ο οδηγός
flight	η πτήση
to fly	πετώ
fish	το ψάρι
petrol	η βενζίνη
supermarket	το σουπερμάρκετ
ferry	το φέριμποτ
thirty	τριάντα
forty	σαράντα
sixty	εξήντα
seventy	εβδομήντα
eighty	ογδόντα
ninety	ενενήντα
hundred	εκατό
3 (m./f./n.)	τρεις/τρεις/τρία
4	τέσσερις/τέσσερις/τέσσερα
example	το παράδειγμα
examples	τα παραδείγματα
hour, time	η ώρα
past (the hour)	και
to (the hour)	παρά
am	πμ (πριν το μεσημέρι)
pm	μμ (μετά το μεσημέρι)
to eat	τρώω
Athens	η Αθήνα
helicopter	το ελικόπτερο
first	πρώτα
then, next	μετά
magazine	το περιοδικό
boarding card	η κάρτα επιβίβασης
pastry	η πάστα
Olympic Airways	η Ολυμπιακή Αεροπορία
London	το Λονδίνο
to look, see	κοιτάζω
to take	παίρνω
finally	τέλος
to arrive	φτάνω
waiting room	η αίθουσα αναμονής
shop	το κατάστημα
shops	τα καταστήματα
aircraft	το αεροσκάφος
by	με
arrival	η άφιξη
departure	η αναχώρηση
internal flights	εσωτερικές πτήσεις
external flights	εξωτερικές πτήσεις
passport control	ο έλεγχος διαβατηρίων
baggage control	ο έλεγχος αποσκευών
ticket control	ο έλεγχος εισιτηρίων
duty-free goods	τα αφορολόγητα
exchange	το συνάλλαγμα
hotel reservations	κρατήσεις ξενοδοχειών
petrol station	το βενζινάδικο
receptionist	ο, η υπάλληλος υποδοχής
name	το όνομα
address	η διεύθυνση
room	το δωμάτιο
customer	ο πελάτης
from tomorrow	από αύριο
(from) the day after tomorrow	(από) μεθαύριο
from next week	από την άλλη εβδομάδα
from now on	από εδώ και εμπρός
every so often	κάθε τόσο
life	η ζωή
hen	η κότα
to lead the life of Riley	παίρνω ζωή και κότα
beach	η πλαζ
to swim	κολυμπώ
to drink	πίνω
to amuse oneself	διασκεδάζω
peace, quiet	η ησυχία
tom-cat	ο γάτος
queen	η γάτα
cat	το γατί
dog (m.)	ο σκύλος
bitch	η σκύλα
dog	το σκυλί
donkey (m.)	ο γάιδαρος
she-ass	η γαϊδούρα
donkey	το γαϊδούρι
father	ο πατέρας
mother	η μητέρα
son	ο γιος
daughter	η κόρη
sky	ο ουρανός
sailor	ο ναύτης
month	ο μήνας
blue, azure	γαλάζιος -α -ο
colour	το χρώμα
man, husband	ο άντρας
friend (m.)	ο φίλος
passenger	ο επιβάτης
doctor	ο γιατρός
moment	η στιγμή
ask, request	ζητώ (α)
January	Ιανουάριος Γενάρης
February	Φεβουάριος Φλεβάρης
March	Μάρτιος Μάρτης
April	Απρίλιος Απρίλης
May	Μάιος Μάης
June	Ιούνιος Ιούνης
July	Ιούλιος Ιούλης
August	Αύγουστος
Sept.	Σεπτέμβριος Σεπτέμβρης
October	Οκτώβριος Οκτώβρης
November	Νοέμβριος Νοέμβρης
December	Δεκέμβριος Δεκέμβρης
to give	δίνω
to send	στέλνω
to expire	λήγω
new	νέος -α -ο
Greek	ελληνικός -ή -ό
to fill in	συμπληρώνω
miss	η δεσποινίς
husband	ο σύζυγος
Crete	η Κρήτη
week	η εβδομάδα
I will give	θα δώσω
details	τα στοιχεία
little, few	λίγος -η -ο
date	η ημερομηνία
birth	η γέννηση
age	η ηλικία
some	μερικοί -ές -ά
place	ο τόπος
nationality	η υπηκοότητα
old	παλιός -ά -ό
begin	αρχίζω
next week	την ερχόμενη εβδομάδα
next month	τον άλλο μήνα
tonight	απόψε
afternoon	το απόγευμα
to say, speak	μιλώ (α)
to cook	ψήνω
to light	ανάβω
to live	ζω
to crash	τσουγκρίζω
to celebrate	γιορτάζω
to drive	οδηγώ
to have fun	γλεντώ
to help	βοηθώ
to prepare	ετοιμάζω
to dye	βάφω
to hide	κρύβω
to live, inhabit	κατοικώ
to proceed	προχωρώ
victory	η νίκη
day	η μέρα
Sunday	η Κυριακή
Monday	η Δευτέρα
Tuesday	η Τρίτη
Wednesday	η Τετάρτη
Thursday	η Πέμπτη
Friday	η Παρασκευή
Saturday	το Σάββατο
season	η εποχή
winter	ο χειμώνας
spring	η άνοιξη
summer	το καλοκαίρι
autumn	το φθινόπωρο
to leave	φεύγω
family	η οικογένεια
two and a half	δυόμιση
holiday, feast-day	η γιορτή
village	το χωριό
town	η πόλη
countryside	η εξοχή
grandfather	ο παππούς
grandmother	η γιαγιά
red	κόκκινος -η -ο
people	ο κόσμος
big	μεγάλος -η -ο
courtyard	η αυλή
family home	το πατρικό (σπίτι)
Easter	το Πάσχα
usually	συνήθως
to, up to, until	έως
Good Friday	η Μεγάλη Παρασκευή
there's Bedlam	γίνεται της τρελής
Christ is risen	Χριστός ανέστη
He is risen indeed	Αληθώς ανέστη
I shall eat	θα φάω
charcoal	τα κάρβουνα
uncle	ο θείος
aunt	η θεία
nephew	ο ανιψιός
niece	η ανιψιά
cousin	ο εξάδελφος, η -η
brother	ο αδελφός, αδερφός
sister	η αδελφή, αδερφή
father	ο μπαμπάς
mother	η μαμά
brother-in-law, son-in-law, bridegroom	ο γαμπρός
sister-in-law, daughter-in-law, bride	η νύφη
fiancée	η αρραβωνιαστικιά
fiancé	ο αρραβωνιαστικιός
husband	ο σύζυγος
wife	η σύζυγος
good morning to you	καλή σου μέρα
occasion	η φορά
to be in a hurry	είμαι βιαστικός -ή -ό
to run	τρέχω
it is necessary	πρέπει
way, means	ο τρόπος
well, good	καλά
why, because, since	γιατί
group of friends	η παρέα
fishing	το ψαρέμα
to fish	ψαρεύω
good mood, high spirits	το κέφι
well then, go on	άντε
already, as well	κιόλας
today	σήμερα
of course	πως
have fun!	καλή διεσκέδαση
in future	στο μέλλον
to find	βρίσκω
I shall find	θα βρω
to leave	φεύγω
I shall leave	θα φύγω
to drink	πίνω
I shall drink	θα πιω
to go	πηγαίνω
I shall go	θα πάω
I want to	θέλω να
I intend to	σκοπεύω να
I am wont to	συνηθίζω να
I can	μπορώ να
I insist upon	επιμένω να
it is hard to	είναι δύσκολο να
kafenion	το καφενείο
church	η εκκλησία
school	το σχολείο
to follow	ακολουθώ
arrow	το βέλος
subscriber	ο συνδρομητής
registration	η εγγραφή
form	το έντυπο
to know	γνωρίζω
catalogue, list	ο κατάλογος
to issue, publish	εκδίδω
preference	η προτίμηση
card	το δελτίο
cheque	η επιταγή
cash on receipt	η αντικαταβολή
organisation	ο οργανισμός
to choose	διαλέγω
house (formal)	η οικία
number	ο αριθμός
square	η πλατεία
avenue	ο λεωφόρος
telephone	το τηλέφωνο
shelter, refuge	το καταφύγιο
evening, night	η βραδιά
performance	η παράσταση
love	ο έρωτας
death	ο θανάτος
struggle	η πάλη
two hundred	διακόσια
three hundred	τριακόσια
four hundred	τετρακόσια
five hundred	πεντακόσια
six hundred	εξακόσια
700	επτακόσια εφτακόσια
800	οκτακόσια οχτακόσια
nine hundred	εννιακόσια
thousand (number)	χίλια
two thousand	δύο χίλιαδες
three thousand	τρεις χίλιαδες
four thousand	τέσσερις χίλιαδες
etc.	κ.λπ. (και τα λοιπά)
million	ένα εκατομμύριο
billion (Am.)	ένα δισεκατομμύριο
100 men	εκατόν άντρες
100 women	εκατό γυναίκες
100 children	εκατόν παιδιά
200 (m.)	διακόσιοι άντρες
200 (f.)	διακόσιες γυναίκες
200 (n.)	διακόσια παιδιά
300 (m.)	τριακόσιοι άντρες
300 (f.)	τριακόσιες γυναίκες
300 (n.)	τριακόσια παιδιά
1000 (m.)	χίλιοι άντρες
1000 (f.)	χίλιες γυναίκες
1000 (n.)	χίλια παιδιά
2000 (m.)	δύο χίλιαδες άντρες
2000 (f.)	δύο χίλιαδες γυναίκες
2000 (n.)	δύο χίλιαδες παιδιά
postcode	ο ταχυδρομικός κώδικας
to live, inhabit	μένω
to write	γράφω
to join	ενώνω
point	το σημείο
turn	η σειρά
small boat	η βάρκα
cloth, sail	το παν(ν)ί
ship	το καράβι
finally	επιτέλους
National Theatre	το Κρατικό Θέατρο
next, coming	ερχόμενος -η -ο
sufficient, several	αρκετός -ή -ό
other	άλλος -η -ο
written	γραμμένος -η -ο
around	γύρω
word	ο λόγος
living, lively	ζωντανός -ή -ό
rich	πλούσιος -η -ο
roughly, about	περίπου
year, years	ο χρόνος, τα χρόνια
tense, tenses	ο χρόνος, οι χρόνοι
tragedy	η τραγωδία
melodious	μελωδικός -ή -ό
to meet (again)	(ξανα)συναντώ
bell	το κουδούνι
to invite	προσκαλώ
to go out	βγαίνω
rough sea	η φουρτούνα
much, many	πολύς, πολλή, πολύ
weekend	το Σαββατοκύριακο
last week	η περασμένη (ε)βδομάδα
little harbour	το λιμανάκι
entire, whole	ολόκληρος -η -ο
[greeting]	καλώς τον/την
come (imperative)	έλα
come in	έλα μέσα
come off it!	έλα καημένη
poor, miserable	καημένος -η -ο
perhaps	μήπως
another, more	ακόμη
little fish	το ψαράκι
little ouzo	το ουζάκι
lamb	το αρνί
little lamb	το αρνάκι
to prefer	προτιμώ
to drive	οδηγώ
to help	βοηθώ
to open	ανοίγω
to pay	πληρώνω
to turn	στρίβω
to be missing	λείπω
to cut down or off	κόβω
to push, thrust	σπρώχνω
to reach, come to, arrive	φτάνω
to run	τρέχω
yesterday	χτες (ή χθες)
the day before yesterday	προχτές (ή προχθές)
last month	τον περασμένο μήνα
last week	την περασμένη εβδομάδα
four years ago	πριν τέσσερα χρόνια
last year	πέρσι (ή πέρυσι)
in 1990	το 1990
dress	το φόρεμα
pub, inn	η ταβέρνα
child	το παιδί
wine	το κρασί
accident, misfortune	το ατύχημα
policeman	ο αστυφύλακας
shop window	η βιτρίνα
wedding	ο γάμος
then	λοιπόν
there	εκεί
voice	η φωνή
squeal	το στρίγκλισμα
brake(s)	το φρένο
corner, street-corner	η γωνία
to walk	περπατώ
to know	ξέρω
to hear	ακούω
to come in	μπαίνω
excuse me	με συγχωρείτε
I saw	είδα
to your health	να σας ζήσει
to go by, go through, pass	περνώ
always	πάντα
often	συχνά
every year	κάθε χρόνο
regularly	τακτικά
every time	κάθε φορά
while	ενώ
as	καθώς
all day	όλη μέρα
all morning	όλο το πρωί
when	την ώρα που
gap, empty space, emptiness	το κενό
anything/nothing	τίποτα
nowhere	πουθενά
not one	κανέναν
never	ποτέ
(s)he took	πήρε
the word	η λέξη
complex, multiple	σύνθετος -η -ο
end, extremity	το άκρο
finger	το δάχτυλο
it was	ήταν
well-known, famous	γνωστός -ή -ό
much, many, very	πολύς, πολλή, πολύ
according to	σύμφωνα με
attempt, effort	η προσπάθεια
to go down, drop, fall	πέφτω
to put	βάζω
hand	το χέρι
to let go	αφήνω
i.e.	δηλ.
mountain range	η οροσειρά
Cyprus	η Κύπρος
legend, saga, folktale	ο θρύλος
soldier	ο στρατιώτης
to defend	υπερασπίζομαι
border, frontier	το σύνορο
the Byzantine Empire	η βυζαντινή αυτοκρατορία
Byzantium	το Βυζάντιο
popular song, folksong	το δημοτικό τραγούδι
tradition	η παράδοση
chased, hunted	κυνηγημένος -η -ο
enemy	ο εχθρός
impression, mark, print	το αποτύπωμα
maternity dress	φόρεμα εγκυμοσύνης
αβγό, το	egg
αβλεψία, η	neglect, negligence
αγαπάω (-ώ)	love [v]
αγάπη, η	love
άγγελος, ο	angel
Αγγλία, η	England
αγγλικά, τα	English (language)
αγγλικός -ή, -ό	English [aj]
ο άγγλος, η αγγλίδα	Englishman, Englishwoman
αγγούρι, το	cucumber
αγελάδα, η	cow
αγκάθι, το	thorn
αγκίδα, η	barb
αγκίστρι, το	hook
αγκωνάρι, το	block (solid mass of material)
αγνός (-ή, -ό)	pure [aj]
αγόρι, το	boy
άγριος (-ια, -ιο)	wild, feral, untamed [aj]
αγρόκτημα, το	farm
άγρυπνος (-η, -ο)	alert [aj]
άγχος, το	stress, anxiety
αγωνίζομαι	fight, combat, struggle [v]
άδειος -α, -ο	empty [aj]
αδελφή, αδερφή, η	sister
αδελφός, αδερφός, ο	brother
αδρύς (-ρεία, -ρύ)	rough, coarse [aj]
αέρας, ο	air, wind
αέριο, το	gas (not liquid or solid)
αέριος (-ια, -ιο), αεριώδης (-δης, -δες)	gaseous [aj]
αεροπλάνο, το	airplane, aircraft, plane
άζωτο, το	nitrogen
αθλητισμός, ο	athletics
σπορ, τα	sports
αθώος (-ώα, -ώο)	innocent [aj]
αίμα, το	blood
αισθάνομαι αναφέρομαι	feel [v]
αίσθηση, η	sense
αιχμηρός (-ή, -ό)	tapered, pointy [aj]
αιώνας, ο	century
άκαμπτος (-η, -ο)	stiff, rigid [aj]
ακανόνιστο (-τη, -τος), σποραδικό (-κή, -κός)	irregular, sporadic, intermittent [aj]
ακολουθία, η	sequence
ακόμα, ακόμη	still, yet [av]
ακόνι, το	file (tool for abrading)
ακουμπάω (-ώ)	1. touch [v] 2. support oneself [v]
ακούω	hear [v]
άκρη, η ακμή	edge
ακρίδα, η	grasshopper, locust
ακριβής (-βής, -βές)	exact, precise [aj]
ακριβός (-ή, -ό)	expensive, costly [aj]
ακρογιαλιά, η	beach
ακτή, η	shore
ακτίνα, η	1. ray (of light) 2. radius
αλάτι, το	salt
αλεπού, η	fox
αλέτρι, το	plow (plough)
αλεύρι, το	flour
αληθινός (-ή, -ό)	true [aj]
αλκοόλ, το , οινόπνευμα, το	alcohol
αλλάζω	change [v]
άλλος (άλλη, άλλο)	other, another [aj/pn]
αλογάκι της Παναγίας, το	mantis
άλογο, το	horse
αλυσίδα, η	chain
αλφάβητο, το	alphabet
αμάξι, το	car
αμβλύς (-λεία, -λύ)	dull, blunt [aj]
άμεσος (-ση, -σο), ευθύς (-θεία, -θύ)	direct, immediate [aj]
αμετάβλητο (-τη, -τος), απαράλλαχτο (-τη, -τος)	invariant, unchanging [aj]
άμμος, η λεωφόρος	sand
αμοιβαίος (-αία, -αίο)	mutual, reciprocal [aj]
αμφιβάλλω υποβάλλω	doubt [v]
αμύνομαι, υπεραμύνομαι	defend [v]
αν	if [cj]
ανά	per (time) [pr,av]
αναβάλλω υποβάλλω (βάλλω)	postpone [v]
αναγνωρίζω	recognize, recognise [v]
αναζητάω (-ώ) ψάχνω	seek, search for, look for [v]
αναζωογονημένος (-η, -ο)	refreshed [aj]
ανακατεύω, ανακατώνω	mix, blend [v]
ανακοινώνω	announce, proclaim [v]
ανάμεσα, εν μέσω, μεταξύ	between, among, amidst [av]
αναπηδάω (-ώ)	bounce, rebound [v]
αναπνέω	breathe [v]
ανάποδος (-η, -ο)	inverted, upside-down [aj]
ανασηκώνω	lift [v]
ανασηκώνω	pry open [v]
αναστέλλω	pause, suspend [v]
ανατολή, η	east
ανεμιστήρας, ο	fan (device to create air current)
άνεμος, ο	wind
ανεξάρτητος (-η, -ο)	independent [aj]
ανεπαρκώς, όχι αρκετά	too little, insufficiently [av]
άνεση, η	comfort
ανησυχία, η	worry
ανθεκτικός (-ή, -ό)	durable, resilient, robust [aj]
άνθρακας, ο	carbon
άνθρωπος, ο	person, human being
ανόητος (-η, -ο)	foolish, silly [aj]
άνοιγμα, το	opening
ανοίγω	open [v]
άνοιξη, η	spring (the season)
ανοιχτός (-ή, -ό)	open [aj]
ανταγωνίζομαι, αμιλλώμαι	compete, strive, vie [v]
ανταλλάσσω	exchange, trade, swap [v]
αντί	instead of, rather than [av]
αντίγραφο, το	copy (a duplicate)
αντικατάσταση, η	substitution, replacement
αντικαταστάτρια (-τάτης)	substitute, surrogate [aj]
αντικείμενο, το	object
αντιλαμβάνομαι λαμβάνω	perceive [v]
αντιπροσωπεύω, εκπροσωπώ	represent, stand for [v]
αντίστροφο (-φη, -φος)	backward, reverse [av]
αντίχειρας, ο ελέφαντας	thumb
αντλία, η ώρα	pump
άντρας, άνδρας, ο άντρας	man
αξία, η ώρα	value, worth
αξίζω	deserve, merit (be worthy of) [v]
αόριστος, ο άνθρωπος	past (tense)
απαγορεύω 	prohibit, forbid [v]
απαλό (-λή, -λός)	gentle, mild [aj]
απάντηση, η	answer, reply
απαραίτητο (-τη, -τος)	necessary, needed, required [aj]
απέναντι	across [av]
απεργία, η ώρα	strike (work stoppage as protest)
άπληστο (-τη, -τος)	greedy [aj]
απλό (-λή, -λός)	simple [aj]
απλώνω	spread, lay [v]
από	1. from, out of, away from [pr] 2. than [av]
από μπρος	from the front [av]
από κάτω	underneath, below, beneath [av]
από πάνω	from above [av]
από πίσω	from behind, to the rear of [av]
απόγευμα, το	afternoon
απογοήτευση, η	disappointment
απόδειξη, η	1. proof 2. receipt
απόθεμα, το	store, cache, reserve, reservoir
αποκαλύπτω	reveal, disclose [v]
αποκάλυψη, η	revelation, mystical vision
αποκλειστικά	exclusively [av]
αποκτάω (-ώ)	get, acquire, gain, obtain [v]
απομεινάρι, το	leftover, remnant
απόν (απούσα, απών)	absent [aj]
απορρίπτω	reject, refuse [v]
απορροφάω (-ώ)	absorb [v]
απόσταση, η	distance
αποτέλεσμα, το	result
αποτελούμαι καλούμαι	consist of, composed of, comprise [v]
αποτελώ	constitute [v]
απότομο (-μη, -μος)	1. abrupt [aj] 2. steep [aj]
αποτυγχάνω αποτυγχάνω, αστοχώ	fail, miss [v]
αποφασίζω	decide [v]
αποφεύγω φεύγω	avoid, evade (keep away from) [v]
απωθώ	repel [v]
αραιό (-αιή, -αιός)	rarefied, tenuous, diffuse, dilute, sparse, wispy [aj]
αράχνη, η αγάπη	spider
αργία, η ώρα	holiday
αργό (-γή, -γός)	late, tardy [aj/av]
αρέσω αρέσω, αρέσκομαι αρέσκομαι	like, enjoy [v]
άρθρο, το βιβλίο	1. article, essay 2. article, determiner
άρθρωση, η	joint (of bones, mechanical parts, etc.)
αριθμός, ο	number
αριστερό (-ρή, -ρός)	left [aj]
αρκετά	enough, sufficiently [av]
αρκούδα, η 	bear
αρμονία, η 	harmony
αρνητικό (-κή, -κός)	negative [aj]
αρνί, το 	lamb
αρνούμαι	deny [v]
αρρώστεια, η 	sickness
αρσενικό (-κή, -κός)	masculine [aj]
αρχείο, το 	record (cache of information)
αρχείο, ντοσιέ, το 	file (dossier; loose bundle of data)
αρχέτυπο, μοντέλο, το 	prototype, exemplar, archetype, model
αρχή, η 	authority
αρχηγός, ο 	chief, leader
αρχίζω	begin, commence, start [v]
άρωμα, το 	flavor
ασήμι, το, άργυρος, ο	silver
ασθένεια, η 	disease, illness
άσκηση, εξάσκηση, η 	exercise, practice
ασπίδα, η 	shield
άσπρο (-ρη, -ρος), λευκό (-κή, -κός)	white [aj]
ασσανσέρ, το, ανελκυστήρας, ο	elevator, lift
αστέρι, άστρο, το 	star
αστακός, ο 	lobster
αστείο (-τεία, -τείος)	funny [aj]
αστραπή, η 	lightning
αστυνομία, η 	police
ασφάλεια, η 	safety, security
ασφάλιση, η 	insurance
άσχημο (-μη, -μος)	ugly [aj]
ατμός, ο 	steam
άτομο, το 	1. atom 2. individual, person
ατσάλι, το 	steel
αυγή, η, χαράματα,τα, ξημέρωμα, το	dawn
αυλάκι, το 	furrow, rut, groove
αυξάνω	increase [v]
αύριο	tomorrow [av]
αυτή	she [pn]
αυτί, το 	ear
αυτοκίνητο, το 	automobile
αυτό	it [pn]
αυτό (-τή, -τός)	this [pn]
αυτόματο (-τη, -τος)	automatic [aj]
αυτός	he [pn]
αυτόχθον (-θων, -θων), ιθαγενές (-νής, -νής)	native [aj]
αυχένας, ο 	neck
αφαιρώ	remove, subtract, take away [v]
αφήνω	release [v]
αφρός, ο 	foam, froth
αχλή, η 	mist
αχρηστεύω	waste, misuse [v]
αψίδα, η 	arch
βαγόνι, το 	wagon
βάζο, το 	jar, jug, vase
βάζω	put [v]
βαθμός, ο 	degree
βάθος, το 	depth
βαθούλωμα, το 	dent, indentation
βαθυστόχαστο (-τη, -τος)	profound (of intellectual depth) [aj]
βαθύ (-θιά, -θύς)	deep [aj]
βαλανιδιά, η 	oak
βαλβίδα, η 	valve
βάλτος, ο 	swamp
βαμβάκι, το 	cotton
βαρέλι, το 	barrel, cask
βαρετό (-τή, -τός)	boring, tedious [aj]
βάρκα, η 	boat
βάρος, το 	weight
βαρύ (-ριά, -ρύς)	heavy [aj]
βαρύτητα, η 	gravity
βάση, η 	basis
βασίζομαι	rely on [v]
βασίλισσα, η 	queen
βασανίζω	torture, torment [v]
βασικό (-κή, -κός)	1. basic [aj] 2. alkaline [aj]
βασιλιάς, ο 	king
βατόμουρο, το 	berry
βάτραχος, ο 	frog
βέβαιο (-αιη, -αιος)	certain, sure [aj]
βελόνα, η 	needle
βέλος, το 	arrow
βέργα, η 	pole, stick
βία, η 	violence, force (unwillingly applied power)
βιάζομαι	rush, hurry, hasten [v]
βιάζω	rape [v]
βίαιο (-αιη, -αιος)	violent [aj]
βιβλίο, το 	book
βιβλιοθήκη, η 	library
βίδα, η 	screw
βιώνω	experience [v]
βλάκας	stupid [aj]
βλέπω	see [v]
βλέφαρο, το 	eyelash
βλαστός, ο 	sprout
βοηθάω	help, assist, aid [v]
βοηθητικό (-κή, -κός)	auxiliary [aj]
βόμβα, η 	bomb
βορράς, ο 	north
βουλή, η 	parliament, congress
βουνό, το 	mountain
βούλωμα, το 	plug, seal, stopper
βούρτσα, η 	brush
βούτυρο, το 	butter
βράδυ, το 	evening
βράζω	boil [v]
βράχος, ο 	rock
βρίσκω	find [v]
βραβείο, το 	prize, award
βροντή, η 	thunder
βροχή, η 	rain
βρόμη, η 	oat
βρώμικο (-κη, -κος)	dirty [aj]
βυθίζω	sink [v]
γάιδαρος, ο 	donkey
γάλα, το 	milk
γαλοπούλα, η 	turkey (the bird)
γάμος, ο 	marriage
γάντι, το 	glove
γάτα, η 	cat
γεγονός, το 	fact
γελάω	laugh [v]
γεμάτο (-τη, -τος), πλήρες (-ρης, -ρης)	full, filled [aj]
γενειάδα, η 	beard
γενικό (-κή, -κός)	general [aj]
γενναιόδωρο (-ρη, -ρος)	generous [aj]
γέννηση, η 	birth
γένος, το 	gender
γέρικο (-κη/-κια, -κος)	old (having lived for a long time) [aj]
γέρος, ο 	old man
γεύομαι	taste [v]
γεύση, η 	taste
γέφυρα, η 	bridge
γη, η 	earth (the planet)
για	for [pr]
γιακάς, ο 	collar
γιατί	why (interrogative) [av]
γιγαντιαίο (-αία, -αίος)	gigantic [aj]
γίνομαι	become [v]
γιός, ο 	son
γκρίζο (-ζα, -ζος), γκρί	gray, grey [aj]
γκρεμός, ο 	cliff
γλιστράω	slide, slip, glide [v]
γλουτός, ο 	buttock
γλυκό, το 	dessert
γλυκό (-κιά, -κός)	sweet [aj]
γλώσσα, η 	1. language 2. tongue (body-part)
γνώμη, η 	opinion
γνωρίζω	1. become acquainted, familiarize 2. know
γνώση, η 	knowledge
γόνατο, το 	knee
γονέας, ο 	parent
γονίδιο, το 	gene
γόνιμο (-μη, -μος)	fertile [aj]
γουρούνι, το 	pig
γοφός, ο 	hip
γράμμα, το 	1. letter (a message written and mailed) 2. letter, character
γράφω	write [v]
γρήγορα, γοργά	quickly, rapidly, swiftly [av]
γραβάτα, η 	necktie
γραμμή, η 	line
γραμματική, η 	grammar
γρανάζι, το 	gear (toothed wheel)
γρασίδι, το 	grass
γρατζουνιά, η 	scratch
γραφίδα, η 	stylus
γριά, η 	old woman
γροθιά, η 	fist
γυαλί, το 	glass
γυαλιά, τα 	glasses (eyeglasses)
γυμναστική, η 	gymnastics
γυμνό (-νή, -νός)	naked, nude [aj]
γυναίκα, η 	woman
γυρίζω, γυρνάω	turn, rotate, revolve [v]
γύρω	around [av]
γωνία, η 	angle
δαγκώνω	bite [v]
δάκρυ, το 	tear (drop)
